mhu-mlv[cms],stc-mlv[cms],eri-mlv[cms],scr-lev[m],det-lev[m],nia-lev[m]
176.574,175.186,174.22,5150.0,5530.0,5490.0
176.56,175.2165,174.2775,5180.0,5620.0,5660.0
176.6429,175.3449,174.4238,5550.0,6000.0,6030.0
176.7611,175.4813,174.5905,5750.0,6190.0,6350.0
176.8231,175.5132,174.655,5850.0,6150.0,6630.0
176.8411,175.4941,174.6121,5900.0,6180.0,6480.0
176.8391,175.4623,174.5502,5930.0,6210.0,6180.0
176.8151,175.4268,174.5,5920.0,6200.0,6160.0
176.7559,175.3599,174.4371,5870.0,6110.0,6080.0
176.6736,175.2692,174.3503,5800.0,5980.0,5930.0
176.5916,175.1829,174.2527,5730.0,5900.0,5780.0
176.5109,175.1754,174.2358,5490.0,5830.0,5610.0
176.4755,175.2182,174.3501,4920.0,5350.0,5760.0
176.5031,175.2562,174.4467,5020.0,5380.0,6020.0
176.5491,175.3151,174.5054,5390.0,5700.0,6200.0
176.6631,175.3991,174.6212,5640.0,5810.0,6420.0
176.808,175.519,174.777,5810.0,5860.0,6900.0
176.9187,175.6103,174.8314,5940.0,6070.0,6960.0
